window_type,bw_value,trendline_width,scope,mse,se
epanechnikov,13,1,iowa,10.1148155276,131.492601859
epanechnikov,13,2,iowa,7.98989821951,103.868676854
epanechnikov,13,3,iowa,8.14441421574,105.877384805
epanechnikov,13,4,iowa,8.21302367481,106.769307772
epanechnikov,13,5,iowa,8.25719948667,107.343593327
epanechnikov,13,6,iowa,8.31973577794,108.156565113
epanechnikov,13,7,iowa,8.38260468386,108.97386089
epanechnikov,13,8,iowa,8.4492831978,109.840681571
epanechnikov,13,9,iowa,8.49506680577,110.435868475
epanechnikov,13,10,iowa,8.55484045474,111.212925912
epanechnikov,13,11,iowa,8.61527812208,111.998615587
epanechnikov,13,12,iowa,8.66426668411,112.635466893
epanechnikov,13,13,iowa,8.7099708095,113.229620523
