window_type,bw_value,scope,cycle,mse,se
epanechnikov,1,iowa,2008,7.43833333333,44.63
epanechnikov,1,iowa,2012,19.285,115.71
epanechnikov,2,iowa,2008,7.43833333333,44.63
epanechnikov,2,iowa,2012,19.285,115.71
epanechnikov,3,iowa,2008,6.99997716895,41.9998630137
epanechnikov,3,iowa,2012,16.9577118256,101.746270954
epanechnikov,4,iowa,2008,8.02386268898,48.1431761339
epanechnikov,4,iowa,2012,15.8639275113,95.1835650675
epanechnikov,5,iowa,2008,7.80884520807,46.8530712484
epanechnikov,5,iowa,2012,11.9201586838,71.5209521026
epanechnikov,6,iowa,2008,7.16208167137,42.9724900282
epanechnikov,6,iowa,2012,11.5464467315,69.2786803892
epanechnikov,7,iowa,2008,7.02360566935,42.1416340161
epanechnikov,7,iowa,2012,11.0218352146,66.1310112878
epanechnikov,8,iowa,2008,7.65779382919,45.9467629752
epanechnikov,8,iowa,2012,10.8333503248,65.0001019486
epanechnikov,9,iowa,2008,7.95174514205,47.7104708523
epanechnikov,9,iowa,2012,10.7340853379,64.4045120271
epanechnikov,10,iowa,2008,8.12458041649,48.7474824989
epanechnikov,10,iowa,2012,10.6729885598,64.0379313591
epanechnikov,11,iowa,2008,7.5108304545,45.064982727
epanechnikov,11,iowa,2012,9.26509541531,55.5905724918
epanechnikov,12,iowa,2008,7.2475714334,43.4854286004
epanechnikov,12,iowa,2012,8.8698015939,53.2188095634
epanechnikov,13,iowa,2008,7.10712720186,42.6427632112
epanechnikov,13,iowa,2012,8.69430205661,52.1658123397
epanechnikov,14,iowa,2008,7.02216489128,42.1329893477
epanechnikov,14,iowa,2012,8.84349247131,53.0609548279
epanechnikov,15,iowa,2008,7.35964160025,44.1578496015
epanechnikov,15,iowa,2012,9.84859699956,59.0915819974
epanechnikov,16,iowa,2008,8.01104166532,48.0662499919
epanechnikov,16,iowa,2012,10.292792177,61.7567530618
epanechnikov,17,iowa,2008,8.330902642,49.985415852
epanechnikov,17,iowa,2012,10.5401184308,63.240710585
epanechnikov,18,iowa,2008,8.39932093148,50.3959255889
epanechnikov,18,iowa,2012,10.7010600507,64.2063603042
epanechnikov,19,iowa,2008,8.44180164111,50.6508098466
epanechnikov,19,iowa,2012,10.81559061,64.89354366
